"","Finance Code","Sq. Ft.","Sales Price","DOM","Street #","Street Name","Closed Date","address"
"1","Cash Sale",995,34000,27,"4738","LUMLEY",2023-01-01,"4738 LUMLEY"
"2","FHA Sale",1064,89100,21,"16146","BLACKSTONE",2023-01-01,"16146 BLACKSTONE"
"3","Cash Sale",1296,38000,40,"15115","Sussex",2023-01-02,"15115 Sussex"
"4","Cash Sale",916,27750,17,"16485","ROSSINI",2023-01-03,"16485 ROSSINI"
"5","Cash Sale",1660,55000,96,"15521","AUBURN",2023-01-03,"15521 AUBURN"
"6","Cash Sale",1318,60000,63,"16848","FIELDING",2023-01-03,"16848 FIELDING"
"7","CONV Sale",997,64000,36,"20230","ROSELAWN",2023-01-03,"20230 ROSELAWN"
"8","CONV Sale",908,80000,41,"13952","CHATHAM",2023-01-03,"13952 CHATHAM"
"9","Cash Sale",2874,150000,26,"18112","NORTHLAWN",2023-01-03,"18112 NORTHLAWN"
"10","FHA Sale",1095,160000,24,"16598","BILTMORE",2023-01-03,"16598 BILTMORE"
"11","Cash Sale",986,17000,25,"3855","HARDING",2023-01-04,"3855 HARDING"
"12","Cash Sale",1437,27500,18,"14819","PREST",2023-01-04,"14819 PREST"
"13","Cash Sale",922,35000,18,"13754","DWYER",2023-01-04,"13754 DWYER"
"14","Cash Sale",692,45000,23,"7403","ROCKDALE",2023-01-04,"7403 ROCKDALE"
"15","Cash Sale",860,50000,57,"18075","BUFFALO",2023-01-04,"18075 BUFFALO"
"16","Cash Sale",1128,61101,13,"5676","CHRISTIANCY",2023-01-04,"5676 CHRISTIANCY"
"17","Cash Sale",1341,75500,60,"19449","HARTWELL",2023-01-04,"19449 HARTWELL"
"18","CONV Sale",984,88000,79,"19831","SHIAWASSEE",2023-01-04,"19831 SHIAWASSEE"
"19","FHA Sale",952,115000,3,"12662","RIVERDALE",2023-01-04,"12662 RIVERDALE"
"20","CONV Sale",1500,140000,95,"6491","LONDON",2023-01-04,"6491 LONDON"
"21","CONV Sale",1514,145000,28,"11260","LANSDOWNE",2023-01-04,"11260 LANSDOWNE"
"22","FHA Sale",1612,187000,4,"5984","HILLCREST",2023-01-04,"5984 HILLCREST"
"23","CONV Sale",1567,206000,6,"18687","CHERRYLAWN",2023-01-04,"18687 CHERRYLAWN"
"24","CONV Sale",2254,309000,3,"1372","SEWARD",2023-01-04,"1372 SEWARD"
"25","Cash Sale",1486,33000,37,"4497","HARDING",2023-01-05,"4497 HARDING"
"26","Cash Sale",1096,40000,91,"14892","HARTWELL",2023-01-05,"14892 HARTWELL"
"27","Cash Sale",700,45000,23,"11106","NOTTINGHAM",2023-01-05,"11106 NOTTINGHAM"
"28","Cash Sale",1370,50000,170,"19738","WESTPHALIA",2023-01-05,"19738 WESTPHALIA"
"29","Other Sale",756,54500,0,"7807","MEMORIAL",2023-01-05,"7807 MEMORIAL"
"30","Cash Sale",1380,71000,35,"9132","LITTLEFIELD",2023-01-05,"9132 LITTLEFIELD"
"31","Cash Sale",1212,73500,5,"1695","ETHEL",2023-01-05,"1695 ETHEL"
"32","CONV Sale",1054,1e+05,0,"4145","CADIEUX",2023-01-05,"4145 CADIEUX"
"33","FHA Sale",1321,122900,69,"15789","BIRWOOD",2023-01-05,"15789 BIRWOOD"
"34","CONV Sale",2057,155000,22,"2521","EDISON Street",2023-01-05,"2521 EDISON Street"
"35","FHA Sale",2819,389000,16,"474","FISKE",2023-01-05,"474 FISKE"
"36","Cash Sale",860,13905,53,"20403","MONTE VISTA",2023-01-06,"20403 MONTE VISTA"
"37","Cash Sale",1281,25000,37,"14640","CHERRYLAWN",2023-01-06,"14640 CHERRYLAWN"
"38","Cash Sale",1338,32500,142,"15880","MANOR",2023-01-06,"15880 MANOR"
"39","Cash Sale",2626,45000,103,"6187","STANTON",2023-01-06,"6187 STANTON"
"40","Cash Sale",1149,49000,8,"10763","WAYBURN",2023-01-06,"10763 WAYBURN"
"41","Contract",900,50000,213,"8026","Brace",2023-01-06,"8026 Brace"
"42","Other Sale",3304,55000,8,"2059","CALVERT",2023-01-06,"2059 CALVERT"
"43","Cash Sale",758,56500,92,"13518","Dale",2023-01-06,"13518 Dale"
"44","Cash Sale",1023,61500,48,"20042","FENMORE",2023-01-06,"20042 FENMORE"
"45","CONV Sale",908,69900,23,"16133","Muirland",2023-01-06,"16133 Muirland"
"46","Cash Sale",1554,70000,22,"14607","ARTESIAN",2023-01-06,"14607 ARTESIAN"
"47","FHA Sale",1098,83000,16,"12074","PENROD",2023-01-06,"12074 PENROD"
"48","Cash Sale",1438,1e+05,25,"14521","ASHTON",2023-01-06,"14521 ASHTON"
"49","FHA Sale",965,106000,48,"2363","CABOT",2023-01-06,"2363 CABOT"
"50","CONV Sale",1948,125000,30,"3783","FULLERTON",2023-01-06,"3783 FULLERTON"
"51","FHA Sale",1222,132000,57,"19173","WESTMORELAND",2023-01-06,"19173 WESTMORELAND"
"52","CONV Sale",1210,140000,6,"24276","Shiawassee",2023-01-06,"24276 Shiawassee"
"53","Other Sale",1388,150000,25,"8346","Hartwell",2023-01-06,"8346 Hartwell"
"54","FHA Sale",2415,160000,87,"5043","KENSINGTON",2023-01-06,"5043 KENSINGTON"
"55","FHA Sale",1348,175000,76,"3683","THREE MILE",2023-01-06,"3683 THREE MILE"
"56","FHA 203K",2960,219000,58,"1444","EDISON",2023-01-06,"1444 EDISON"
"57","CONV Sale",2750,303000,13,"18075","ROSELAWN",2023-01-06,"18075 ROSELAWN"
"58","Cash Sale",3552,330000,118,"2506","PHILADELPHIA",2023-01-06,"2506 PHILADELPHIA"
"59","CONV Sale",3051,385000,61,"708","LONGFELLOW",2023-01-06,"708 LONGFELLOW"
"60","Cash Sale",904,16500,67,"15404","FAIRCREST",2023-01-09,"15404 FAIRCREST"
"61","Cash Sale",2000,35000,162,"458","Marlborough",2023-01-09,"458 Marlborough"
"62","Cash Sale",1355,45000,117,"9911","WARD",2023-01-09,"9911 WARD"
"63","Cash Sale",890,48000,11,"19966","PREVOST",2023-01-09,"19966 PREVOST"
"64","Cash Sale",960,50000,28,"7795","HEYDEN",2023-01-09,"7795 HEYDEN"
"65","Cash Sale",1202,50500,30,"18709","BARLOW",2023-01-09,"18709 BARLOW"
"66","Cash Sale",1497,67271,32,"932","EUCLID",2023-01-09,"932 EUCLID"
"67","CONV Sale",1852,69000,34,"9526","HUBBELL",2023-01-09,"9526 HUBBELL"
"68","CONV Sale",1218,89000,50,"16520","ARCHDALE",2023-01-09,"16520 ARCHDALE"
"69","Cash Sale",1449,90000,4,"3958","BERKSHIRE",2023-01-09,"3958 BERKSHIRE"
"70","Contract",1140,90000,217,"15832-15826","SOUTHFIELD FWY",2023-01-09,"15832-15826 SOUTHFIELD FWY"
"71","FHA Sale",1200,116000,10,"16530","MURRAY HILL",2023-01-09,"16530 MURRAY HILL"
"72","FHA Sale",1582,132500,22,"15750","FERGUSON",2023-01-09,"15750 FERGUSON"
"73","CONV Sale",2018,274000,8,"19460","Gainsborough",2023-01-09,"19460 Gainsborough"
"74","Cash Sale",600,90000,8,"5829","ROWLEY",2023-01-10,"5829 ROWLEY"
"75","CONV Sale",805,99900,11,"15233","PARK GROVE",2023-01-10,"15233 PARK GROVE"
"76","Contract",1333,110000,10,"17152","GLASTONBURY",2023-01-10,"17152 GLASTONBURY"
"77","CONV Sale",1006,125000,13,"7545","ABINGTON",2023-01-10,"7545 ABINGTON"
"78","CONV Sale",1358,130000,43,"16565","SUSSEX",2023-01-10,"16565 SUSSEX"
"79","CONV Sale",1506,140000,36,"15847","Baylis",2023-01-10,"15847 Baylis"
"80","FHA Sale",1926,150000,224,"19355","COYLE",2023-01-10,"19355 COYLE"
"81","FHA Sale",2728,290000,64,"540","PIPER",2023-01-10,"540 PIPER"
"82","Cash Sale",800,11500,18,"18990","PATTON",2023-01-11,"18990 PATTON"
"83","Cash Sale",1001,23000,21,"14345","STOUT",2023-01-11,"14345 STOUT"
"84","Cash Sale",1216,26000,10,"11835","DUCHESS",2023-01-11,"11835 DUCHESS"
"85","CONV Sale",1409,35000,61,"21512","Orchard",2023-01-11,"21512 Orchard"
"86","Cash Sale",1592,49000,95,"16822","MENDOTA",2023-01-11,"16822 MENDOTA"
"87","Cash Sale",1980,50000,6,"1443","BEWICK",2023-01-11,"1443 BEWICK"
"88","Cash Sale",960,63000,20,"20025","KENTUCKY",2023-01-11,"20025 KENTUCKY"
"89","Contract",1012,85000,22,"7701","RUTLAND",2023-01-11,"7701 RUTLAND"
"90","CONV Sale",1250,108000,29,"11348","BRAMELL",2023-01-11,"11348 BRAMELL"
"91","FHA Sale",2176,210000,10,"3435","HAVERHILL",2023-01-11,"3435 HAVERHILL"
"92","CONV Sale",3100,415000,141,"17174","FAIRFIELD",2023-01-11,"17174 FAIRFIELD"
"93","Cash Sale",971,16000,18,"14387","AUBURN",2023-01-12,"14387 AUBURN"
"94","Cash Sale",1192,20000,159,"14049","TACOMA",2023-01-12,"14049 TACOMA"
"95","Cash Sale",1090,65000,65,"16614","WOODBINE",2023-01-12,"16614 WOODBINE"
"96","CONV Sale",1161,75000,63,"6520","AUBURN",2023-01-12,"6520 AUBURN"
"97","Contract",1513,80000,84,"17443","FLEMING",2023-01-12,"17443 FLEMING"
"98","Cash Sale",2857,105000,75,"3205","LESLIE",2023-01-12,"3205 LESLIE"
"99","FHA Sale",1250,170000,77,"3929","COMMOR",2023-01-12,"3929 COMMOR"
"100","VA Sale",1886,210000,53,"18460","SAN JUAN",2023-01-12,"18460 SAN JUAN"
"101","FHA Sale",1737,265000,61,"282","Lakewood",2023-01-12,"282 Lakewood"
"102","CONV Sale",2334,363500,25,"4828","AVERY",2023-01-12,"4828 AVERY"
"103","Cash Sale",1882,10000,275,"12801","WILSHIRE",2023-01-13,"12801 WILSHIRE"
"104","Cash Sale",1023,12700,34,"14130","SORRENTO",2023-01-13,"14130 SORRENTO"
"105","Cash Sale",700,26000,67,"18677","Fenelon",2023-01-13,"18677 Fenelon"
"106","Cash Sale",1156,26000,17,"8091","Mandalay Street",2023-01-13,"8091 Mandalay Street"
"107","Cash Sale",1419,30000,99,"14251","Kilbourne St",2023-01-13,"14251 Kilbourne St"
"108","Cash Sale",1134,33000,63,"12064","ELMDALE",2023-01-13,"12064 ELMDALE"
"109","Cash Sale",1547,34250,30,"15359","BILTMORE",2023-01-13,"15359 BILTMORE"
"110","Cash Sale",1400,37500,15,"15894","Wisconsin",2023-01-13,"15894 Wisconsin"
"111","Cash Sale",939,43000,32,"18039","RIOPELLE",2023-01-13,"18039 RIOPELLE"
"112","CONV Sale",1236,46000,69,"8856","MARSEILLES",2023-01-13,"8856 MARSEILLES"
"113","CONV Sale",1114,60000,100,"14890","APPOLINE",2023-01-13,"14890 APPOLINE"
"114","CONV Sale",1153,67500,5,"16246","SNOWDEN",2023-01-13,"16246 SNOWDEN"
"115","Cash Sale",1101,67500,53,"6356","PIEDMONT",2023-01-13,"6356 PIEDMONT"
"116","FHA Sale",1364,75000,31,"11845","LAKEPOINTE",2023-01-13,"11845 LAKEPOINTE"
"117","FHA Sale",836,80000,49,"15803","FORDHAM",2023-01-13,"15803 FORDHAM"
"118","Cash Sale",1024,85000,83,"11606","SOMERSET",2023-01-13,"11606 SOMERSET"
"119","CONV Sale",1364,85000,71,"11645","CHEYENNE",2023-01-13,"11645 CHEYENNE"
"120","CONV Sale",1035,97500,50,"6140","LODEWYCK",2023-01-13,"6140 LODEWYCK"
"121","FHA Sale",1274,120000,67,"18016","SORRENTO",2023-01-13,"18016 SORRENTO"
"122","CONV Sale",1404,122200,77,"495","MANISTIQUE",2023-01-13,"495 MANISTIQUE"
"123","FHA Sale",1476,145000,30,"16869","GLASTONBURY",2023-01-13,"16869 GLASTONBURY"
"124","FHA Sale",1240,157000,37,"11652","Chatham",2023-01-13,"11652 Chatham"
"125","FHA Sale",1543,2e+05,35,"18261","MONICA",2023-01-13,"18261 MONICA"
"126","CONV Sale",2032,2e+05,183,"16661","INVERNESS",2023-01-13,"16661 INVERNESS"
"127","CONV Sale",2076,265000,115,"17388","WARRINGTON",2023-01-13,"17388 WARRINGTON"
"128","CONV Sale",3381,660000,16,"3250","CAMBRIDGE",2023-01-13,"3250 CAMBRIDGE"
"129","CONV Sale",934,43000,104,"20663","Mccormick St",2023-01-16,"20663 Mccormick St"
"130","Contract",1071,66000,4,"2974","GREYFRIARS",2023-01-16,"2974 GREYFRIARS"
"131","CONV Sale",800,110000,0,"19949","SOUTHFIELD",2023-01-16,"19949 SOUTHFIELD"
"132","Cash Sale",1403,14000,18,"15242","STATE FAIR",2023-01-17,"15242 STATE FAIR"
"133","Cash Sale",796,30000,35,"10817","ROXBURY",2023-01-17,"10817 ROXBURY"
"134","Cash Sale",1045,35000,39,"13631","Sunset",2023-01-17,"13631 Sunset"
"135","Cash Sale",1235,45000,47,"13601","MENDOTA",2023-01-17,"13601 MENDOTA"
"136","CONV Sale",962,61000,10,"15824","DACOSTA",2023-01-17,"15824 DACOSTA"
"137","FHA Sale",1519,65000,5,"13250","HUBBELL",2023-01-17,"13250 HUBBELL"
"138","CONV Sale",1786,70000,100,"2303","Waverly",2023-01-17,"2303 Waverly"
"139","CONV Sale",1164,130000,0,"19743","Freeland",2023-01-17,"19743 Freeland"
"140","FHA Sale",1338,135000,6,"18256","GRIGGS",2023-01-17,"18256 GRIGGS"
"141","FHA Sale",1335,155000,1,"5581","THREE MILE",2023-01-17,"5581 THREE MILE"
"142","FHA Sale",2248,185000,0,"4717","HAVERHILL",2023-01-17,"4717 HAVERHILL"
"143","Cash Sale",908,31990,8,"19511","HARLOW",2023-01-18,"19511 HARLOW"
"144","Cash Sale",912,32000,8,"9342","Cloverlawn",2023-01-18,"9342 Cloverlawn"
"145","Cash Sale",1167,51000,76,"15848","CHEYENNE",2023-01-18,"15848 CHEYENNE"
"146","Cash Sale",1248,51500,1,"11176","ROXBURY",2023-01-18,"11176 ROXBURY"
"147","Cash Sale",1196,58000,91,"16590","GILCHRIST",2023-01-18,"16590 GILCHRIST"
"148","Cash Sale",901,60000,82,"6703","ARTESIAN",2023-01-18,"6703 ARTESIAN"
"149","CONV Sale",1039,70000,17,"16509","MURRAY HILL",2023-01-18,"16509 MURRAY HILL"
"150","FHA Sale",981,115000,11,"14088","OUTER",2023-01-18,"14088 OUTER"
"151","CONV Sale",972,125000,58,"19960","Hartwell",2023-01-18,"19960 Hartwell"
"152","CONV Sale",1223,140000,48,"20309","CHAPEL",2023-01-18,"20309 CHAPEL"
"153","CONV Sale",2200,245000,13,"2262","CLAIRMOUNT",2023-01-18,"2262 CLAIRMOUNT"
"154","CONV Sale",4431,460000,22,"1064","IROQUOIS",2023-01-18,"1064 IROQUOIS"
"155","Cash Sale",752,18000,11,"14869","PARKSIDE",2023-01-19,"14869 PARKSIDE"
"156","Cash Sale",1770,38000,19,"1819","Outer",2023-01-19,"1819 Outer"
"157","Cash Sale",1125,50000,70,"16521","CRUSE",2023-01-19,"16521 CRUSE"
"158","CONV Sale",1047,59900,22,"5299","FARMBROOK",2023-01-19,"5299 FARMBROOK"
"159","CONV Sale",997,75000,11,"18991","GREYDALE",2023-01-19,"18991 GREYDALE"
"160","FHA Sale",1031,85000,15,"6436","GREENVIEW",2023-01-19,"6436 GREENVIEW"
"161","Cash Sale",1764,86000,59,"9372","PINEHURST",2023-01-19,"9372 PINEHURST"
"162","FHA Sale",1066,105000,33,"17654","FENTON",2023-01-19,"17654 FENTON"
"163","FHA Sale",1168,132000,49,"18660","COYLE",2023-01-19,"18660 COYLE"
"164","CONV Sale",1236,150000,16,"5245","LANNOO",2023-01-19,"5245 LANNOO"
"165","FHA Sale",1726,228500,33,"17511","Ohio",2023-01-19,"17511 Ohio"
"166","FHA Sale",1962,3e+05,236,"17500","WILDEMERE",2023-01-19,"17500 WILDEMERE"
"167","CONV Sale",2429,350000,127,"540","ARDEN PARK",2023-01-19,"540 ARDEN PARK"
"168","Cash Sale",1060,14000,15,"15370","LESURE",2023-01-20,"15370 LESURE"
"169","Cash Sale",1288,30000,134,"8916","GRIGGS",2023-01-20,"8916 GRIGGS"
"170","Cash Sale",982,34000,24,"11311","STEEL",2023-01-20,"11311 STEEL"
"171","Cash Sale",931,40000,172,"17601","FIELDING",2023-01-20,"17601 FIELDING"
"172","Cash Sale",906,40000,32,"18150","FLEMING",2023-01-20,"18150 FLEMING"
"173","Cash Sale",1258,45000,3,"1980","GRAND",2023-01-20,"1980 GRAND"
"174","Cash Sale",1400,47000,11,"11592","ROXBURY",2023-01-20,"11592 ROXBURY"
"175","Cash Sale",1531,47500,91,"16830","PIERSON",2023-01-20,"16830 PIERSON"
"176","Cash Sale",914,67500,5,"18666","JOSEPH CAMPAU",2023-01-20,"18666 JOSEPH CAMPAU"
"177","Cash Sale",758,69000,132,"20019","ASHTON",2023-01-20,"20019 ASHTON"
"178","FHA Sale",856,70000,3,"19269","KEYSTONE",2023-01-20,"19269 KEYSTONE"
"179","Cash Sale",906,71000,5,"19861","GRANDVIEW",2023-01-20,"19861 GRANDVIEW"
"180","Cash Sale",1079,72500,52,"12251","STEEL",2023-01-20,"12251 STEEL"
"181","FHA Sale",1094,88000,29,"13827","COLLINGHAM",2023-01-20,"13827 COLLINGHAM"
"182","Cash Sale",839,90500,9,"17809","BEAVERLAND",2023-01-20,"17809 BEAVERLAND"
"183","Cash Sale",1382,1e+05,52,"18466","Washburn",2023-01-20,"18466 Washburn"
"184","CONV Sale",1204,125000,13,"11404","Beaverland",2023-01-20,"11404 Beaverland"
"185","Cash Sale",1902,136500,180,"14453","HARBOR",2023-01-20,"14453 HARBOR"
"186","CONV Sale",1896,142900,7,"14175","GRANDMONT",2023-01-20,"14175 GRANDMONT"
"187","CONV Sale",1300,170000,66,"3499","Grayton",2023-01-20,"3499 Grayton"
"188","CONV Sale",2435,260000,91,"1652","EDISON",2023-01-20,"1652 EDISON"
"189","FHA Sale",2077,268000,32,"18508","ROSELAWN",2023-01-20,"18508 ROSELAWN"
"190","CONV Sale",2660,420000,5,"1970","EDISON",2023-01-20,"1970 EDISON"
"191","Cash Sale",1076,71000,105,"6081","GRANDVILLE",2023-01-22,"6081 GRANDVILLE"
"192","Cash Sale",1092,25000,75,"3031","VIRGINIA PARK",2023-01-23,"3031 VIRGINIA PARK"
"193","Cash Sale",950,41500,6,"18328","AVON",2023-01-23,"18328 AVON"
"194","Cash Sale",968,43500,22,"14565","ARDMORE",2023-01-23,"14565 ARDMORE"
"195","Cash Sale",1652,50000,7,"20518","ASHTON",2023-01-23,"20518 ASHTON"
"196","CONV Sale",1116,54900,100,"656","HOLLYWOOD",2023-01-23,"656 HOLLYWOOD"
"197","Cash Sale",1064,64000,7,"16110","AVON",2023-01-23,"16110 AVON"
"198","Cash Sale",719,65000,60,"6746","WESTWOOD",2023-01-23,"6746 WESTWOOD"
"199","Cash Sale",1015,70000,30,"7693","WARWICK",2023-01-23,"7693 WARWICK"
"200","Cash Sale",1016,1e+05,3,"16680","LESURE",2023-01-23,"16680 LESURE"
"201","FHA Sale",982,110000,17,"18412","FAUST",2023-01-23,"18412 FAUST"
"202","CONV Sale",768,58500,82,"14055","PLAINVIEW",2023-01-24,"14055 PLAINVIEW"
"203","FHA Sale",1123,73000,46,"2975","DEACON",2023-01-24,"2975 DEACON"
"204","FHA Sale",732,75800,14,"21500","PEMBROKE",2023-01-24,"21500 PEMBROKE"
"205","FHA Sale",1228,125000,12,"431","Marlborough",2023-01-24,"431 Marlborough"
"206","FHA Sale",1386,190000,85,"18237","LITTLEFIELD",2023-01-24,"18237 LITTLEFIELD"
"207","CONV Sale",2206,265000,5,"16815","LA SALLE",2023-01-24,"16815 LA SALLE"
"208","CONV Sale",2173,325000,3,"730","ATKINSON",2023-01-24,"730 ATKINSON"
"209","CONV Sale",2801,380000,37,"19160","SANTA BARBARA",2023-01-24,"19160 SANTA BARBARA"
"210","Cash Sale",988,30000,61,"22612","LYNDON",2023-01-25,"22612 LYNDON"
"211","Cash Sale",744,38000,91,"1415","ANNABELLE",2023-01-25,"1415 ANNABELLE"
"212","Cash Sale",1046,44900,38,"6156","LODEWYCK",2023-01-25,"6156 LODEWYCK"
"213","Cash Sale",1200,60000,120,"14534","VAUGHAN",2023-01-25,"14534 VAUGHAN"
"214","CONV Sale",1488,75000,0,"3316","HAZELWOOD",2023-01-25,"3316 HAZELWOOD"
"215","CONV Sale",1283,77200,98,"17331","HEYDEN",2023-01-25,"17331 HEYDEN"
"216","FHA Sale",1692,95000,37,"5967","BISHOP",2023-01-25,"5967 BISHOP"
"217","CONV Sale",1164,101000,88,"17369","PREST",2023-01-25,"17369 PREST"
"218","CONV Sale",908,107000,39,"20440","SALEM",2023-01-25,"20440 SALEM"
"219","CONV Sale",1052,115000,83,"19134","BURT",2023-01-25,"19134 BURT"
"220","FHA Sale",1100,125000,65,"16618","TULLER",2023-01-25,"16618 TULLER"
"221","CONV Sale",1624,165000,53,"8316","OUTER",2023-01-25,"8316 OUTER"
"222","FHA Sale",1971,165000,118,"18630","WOODINGHAM",2023-01-25,"18630 WOODINGHAM"
"223","Cash Sale",1040,35000,118,"15750","MURRAY HILL",2023-01-26,"15750 MURRAY HILL"
"224","Cash Sale",681,37000,22,"4003","DORIS",2023-01-26,"4003 DORIS"
"225","Cash Sale",709,40000,9,"16195","TULLER",2023-01-26,"16195 TULLER"
"226","Cash Sale",960,65000,88,"7481","RUTHERFORD",2023-01-26,"7481 RUTHERFORD"
"227","Contract",912,109000,143,"19657","APPLETON",2023-01-26,"19657 APPLETON"
"228","CONV Sale",1142,110000,19,"15810","ROBSON",2023-01-26,"15810 ROBSON"
"229","FHA Sale",1794,126000,8,"5707","Hillcrest St",2023-01-26,"5707 Hillcrest St"
"230","FHA Sale",1945,140000,260,"6127","GRAYTON",2023-01-26,"6127 GRAYTON"
"231","Cash Sale",1345,170000,19,"14559","ROSEMONT",2023-01-26,"14559 ROSEMONT"
"232","CONV Sale",3800,4e+05,38,"19465","Canterbury",2023-01-26,"19465 Canterbury"
"233","Cash Sale",1322,20000,254,"14542","MANNING",2023-01-27,"14542 MANNING"
"234","Cash Sale",844,30000,10,"19637","Moross",2023-01-27,"19637 Moross"
"235","Cash Sale",1080,30000,27,"15349","CRUSE",2023-01-27,"15349 CRUSE"
"236","Cash Sale",825,30990,35,"19957","SAINT AUBIN",2023-01-27,"19957 SAINT AUBIN"
"237","Cash Sale",1095,32000,23,"14611","SUSSEX",2023-01-27,"14611 SUSSEX"
"238","Cash Sale",1421,33000,6,"8243","ARTESIAN",2023-01-27,"8243 ARTESIAN"
"239","Cash Sale",743,37500,116,"9255","HEYDEN",2023-01-27,"9255 HEYDEN"
"240","Cash Sale",1012,42000,50,"18900","OAKFIELD",2023-01-27,"18900 OAKFIELD"
"241","Cash Sale",972,45000,33,"18919","BELAND",2023-01-27,"18919 BELAND"
"242","Cash Sale",957,46000,6,"8798","HOMER",2023-01-27,"8798 HOMER"
"243","Cash Sale",1025,49000,52,"8181","HOUSE",2023-01-27,"8181 HOUSE"
"244","Cash Sale",915,55000,21,"8458","BURT",2023-01-27,"8458 BURT"
"245","Cash Sale",798,60000,55,"19941","GALLAGHER",2023-01-27,"19941 GALLAGHER"
"246","CONV Sale",1500,65000,21,"2571","Townsend",2023-01-27,"2571 Townsend"
"247","Cash Sale",994,66000,164,"18957","WINTHROP",2023-01-27,"18957 WINTHROP"
"248","Cash Sale",1294,80000,18,"20601","ORANGELAWN",2023-01-27,"20601 ORANGELAWN"
"249","Cash Sale",2373,89500,96,"4373","LESLIE",2023-01-27,"4373 LESLIE"
"250","CONV Sale",937,1e+05,195,"3892","TALBOT",2023-01-27,"3892 TALBOT"
"251","CONV Sale",2156,135000,27,"16874","MUIRLAND",2023-01-27,"16874 MUIRLAND"
"252","CONV Sale",1096,145500,14,"19501","BEAVERLAND",2023-01-27,"19501 BEAVERLAND"
"253","CONV Sale",1092,154000,54,"20110","TRINITY",2023-01-27,"20110 TRINITY"
"254","FHA Sale",1077,165000,29,"19597","REDFERN",2023-01-27,"19597 REDFERN"
"255","CONV Sale",1403,170000,16,"17360","LITTLEFIELD",2023-01-27,"17360 LITTLEFIELD"
"256","CONV Sale",1464,175000,35,"5815","BUCKINGHAM",2023-01-27,"5815 BUCKINGHAM"
"257","CONV Sale",1365,179000,135,"16705","CHANDLER PARK",2023-01-27,"16705 CHANDLER PARK"
"258","FHA Sale",1590,190000,2,"18453","SORRENTO",2023-01-27,"18453 SORRENTO"
"259","FHA Sale",3732,285000,19,"3456","7 MILE",2023-01-27,"3456 7 MILE"
"260","CONV Sale",4300,375000,40,"2236","IROQUOIS",2023-01-27,"2236 IROQUOIS"
"261","Cash Sale",850,76900,21,"6767","WOODMONT",2023-01-28,"6767 WOODMONT"
"262","Cash Sale",929,21000,15,"9059","PIERSON",2023-01-30,"9059 PIERSON"
"263","Other Sale",1167,21000,172,"8508","Artesian",2023-01-30,"8508 Artesian"
"264","Cash Sale",888,33240,4,"7809","PATTON",2023-01-30,"7809 PATTON"
"265","Cash Sale",966,33500,119,"17525","PIERSON",2023-01-30,"17525 PIERSON"
"266","Cash Sale",1037,42500,6,"11775","PARKWAY",2023-01-30,"11775 PARKWAY"
"267","Cash Sale",1190,48000,62,"11076","SAINT PATRICK",2023-01-30,"11076 SAINT PATRICK"
"268","Cash Sale",933,48000,86,"20525","MANOR",2023-01-30,"20525 MANOR"
"269","CONV Sale",1141,75000,46,"18422","AVON",2023-01-30,"18422 AVON"
"270","FHA Sale",1143,148500,37,"5034","OAKMAN",2023-01-30,"5034 OAKMAN"
"271","CONV Sale",1524,160000,58,"3788","Burns St",2023-01-30,"3788 Burns St"
"272","FHA Sale",2100,249000,37,"4277","LESLIE",2023-01-30,"4277 LESLIE"
"273","Cash Sale",1194,6000,161,"3869","HARDING",2023-01-31,"3869 HARDING"
"274","Cash Sale",1362,16100,5,"9364","PATTON",2023-01-31,"9364 PATTON"
"275","Cash Sale",939,20000,22,"9959","STAHELIN",2023-01-31,"9959 STAHELIN"
"276","Cash Sale",934,21000,40,"9561","MANSFIELD",2023-01-31,"9561 MANSFIELD"
"277","Contract",915,40000,23,"20266","BRADFORD",2023-01-31,"20266 BRADFORD"
"278","Cash Sale",1252,47500,34,"5321","CADILLAC",2023-01-31,"5321 CADILLAC"
"279","CONV Sale",1200,49000,6,"19685","YONKA",2023-01-31,"19685 YONKA"
"280","Cash Sale",1325,49500,36,"13391","KILBOURNE",2023-01-31,"13391 KILBOURNE"
"281","CONV Sale",1182,50000,71,"15762","BILTMORE",2023-01-31,"15762 BILTMORE"
"282","Cash Sale",1000,51000,37,"5764","Farmbrook",2023-01-31,"5764 Farmbrook"
"283","Cash Sale",919,58200,10,"9656","CHATHAM",2023-01-31,"9656 CHATHAM"
"284","Cash Sale",1652,63501,7,"503","MOUNT VERNON",2023-01-31,"503 MOUNT VERNON"
"285","Cash Sale",1124,65000,15,"16615","ROBSON",2023-01-31,"16615 ROBSON"
"286","CONV Sale",1227,66400,23,"15328","WARD",2023-01-31,"15328 WARD"
"287","FHA Sale",1159,67000,5,"19162","FORRER",2023-01-31,"19162 FORRER"
"288","CONV Sale",868,72000,7,"2554","ETHEL",2023-01-31,"2554 ETHEL"
"289","CONV Sale",996,92000,69,"20220","RIOPELLE",2023-01-31,"20220 RIOPELLE"
"290","FHA Sale",975,97000,49,"20431","HARNED",2023-01-31,"20431 HARNED"
"291","FHA Sale",1520,98000,66,"17267","WARWICK",2023-01-31,"17267 WARWICK"
"292","CONV Sale",984,103000,13,"6372","ASHTON",2023-01-31,"6372 ASHTON"
"293","FHA Sale",1278,111000,24,"12832","SAINT MARYS",2023-01-31,"12832 SAINT MARYS"
